matrix_taxon, vto, vto_label, ott_id
"Hypostomus punctatus",VTO_0036907,"Hypostomus punctatus",ott96085
"Hypostomus verres",VTO_0036909,"Hypostomus watwata",ott96093
"Neoplecostomus paranensis",VTO_0037207,"Neoplecostomus paranensis",ott790485
"Hypophthalmus edentatus",VTO_0037375,"Hypophthalmus edentatus",ott758735
"Micralestes acutidens",VTO_0037792,"Micralestes acutidens",ott763331
"Bryconaethiops macrops",VTO_0037808,"Bryconaethiops macrops",ott660649
"Alestes longipinnis",VTO_0037812,"Brycinus longipinnis",ott440383
"Brycinus longipinnis",VTO_0037812,"Brycinus longipinnis",ott440383
"Bryconalestes longipinnis",VTO_0037812,"Brycinus longipinnis",ott440383
"Alestes macrolepidotus",VTO_0037814,"Brycinus macrolepidotus",ott660656
"Brycinus macrolepidotus",VTO_0037814,"Brycinus macrolepidotus",ott660656
"Brycinus aff. opisthotaenia",VTO_0037817,"Brycinus opisthotaenia",ott660647
"Serrasalmus rhombeus",VTO_0037926,"Serrasalmus rhombeus",ott382210
"Brycon opalinus",VTO_0038002,"Brycon opalinus",ott778219
"Brycon guatemalensis",VTO_0038007,"Brycon guatemalensis",ott573662
"Brycon striatulus",VTO_0038008,"Brycon striatulus",ott573664
"Brycon chagrensis",VTO_0038011,"Brycon chagrensis",ott573677
"Brycon argenteus",VTO_0038013,"Brycon argenteus",ott1086
"Brycon oligolepis",VTO_0038014,"Brycon oligolepis",ott573674
"Brycon aff. meeki",VTO_0038016,"Brycon meeki",ott1071
"Brycon insignis",VTO_0038026,"Brycon insignis",ott219092
"Astyanax fasciatus",VTO_0038207,"Astyanax fasciatus",ott66525
"Prochilodus rubrotaeniatus",VTO_0038479,"Prochilodus rubrotaeniatus",ott17173
"Prochilodus mariae",VTO_0038481,"Prochilodus mariae",ott757635
"Prochilodus nigricans",VTO_0038482,"Prochilodus nigricans",ott757632
"Prochilodus magdalenae",VTO_0038483,"Prochilodus magdalenae",ott234331
"Semaprochilodus kneri",VTO_0038490,"Semaprochilodus kneri",ott1048667
"Leporinus friderici",VTO_0038661,"Leporinus friderici",ott45117
"Hybopsis micropogon",VTO_0038704,"Nocomis micropogon",ott644727
"Nocomis micropogon",VTO_0038704,"Nocomis micropogon",ott644727
"Zacco temminckii",VTO_0038710,"Nipponocypris temminckii",ott361232
"Zacco temminickii",VTO_0038710,"Nipponocypris temminckii",ott361232
"Hybognathus hankinsoni",VTO_0038719,"Hybognathus hankinsoni",ott122959
"Garra rufus",VTO_0038733,"Garra rufa",ott709588
"Opsariichthys bidens",VTO_0038789,"Opsariichthys bidens",ott394650
"Rhodeus sinensis",VTO_0038840,"Rhodeus sinensis",ott185860
"Rasbora daniconius",VTO_0038888,"Rasbora daniconius",ott51916
"Rasboroides vaterifloris",VTO_0038890,"Rasbora vaterifloris",ott51900
"Saurogobio dabryi",VTO_0039020,"Saurogobio dabryi",ott303757
"Tor putitora",VTO_0039043,"Tor putitora",ott720179
"Culter alburnus",VTO_0039064,"Culter alburnus",ott344195
"Pimephales tenellus",VTO_0039109,"Pimephales tenellus",ott437004
"Spinibarbus hollandi",VTO_0039138,"Spinibarbus hollandi",ott545621
"Pteronotropis euryzonus",VTO_0039311,"Pteronotropis euryzonus",ott742785
"Pteronotropis signipinnis",VTO_0039313,"Pteronotropis signipinnis",ott742771
"Notropis welaka",VTO_0039314,"Pteronotropis welaka",ott742775
"Pteronotropis welaka",VTO_0039314,"Pteronotropis welaka",ott742775
"Notropis hubbsi",VTO_0039315,"Pteronotropis hubbsi",ott742761
"Notropis hypselopterus",VTO_0039316,"Pteronotropis hypselopterus",ott742766
"Pteronotropis hypselopterus",VTO_0039316,"Pteronotropis hypselopterus",ott742766
"Osteocheilus hasseltii",VTO_0039384,"Osteochilus hasseltii",ott110144
"Hampala macrolepidota",VTO_0039388,"Hampala macrolepidota",ott110134
"Mystacoleucus marginatus",VTO_0039418,"Mystacoleucus marginatus",ott361286
"Yuriria alta",VTO_0039511,"Yuriria alta",ott556015
"Labeo niloticus",VTO_0039567,"Labeo senegalensis",ott1026922
"Plagopterus argentissimus",VTO_0039616,"Plagopterus argentissimus",ott644724
"Moapa coriacea",VTO_0039625,"Moapa coriacea",ott644730
"Elopichthys bambusa",VTO_0039640,"Elopichthys bambusa",ott985355
"Cirrhinus chinensis",VTO_0039648,"Cirrhinus molitorella",ott545616
"Hypophthalmichthys molitrix",VTO_0039762,"Hypophthalmichthys molitrix",ott35786
"Danio dangila",VTO_0039829,"Danio dangila",ott292317
"Danio nigrofasciatus",VTO_0039832,"Danio nigrofasciatus",ott536579
"Rhinogobio typus",VTO_0039843,"Rhinogobio typus",ott177927
"Aphyocypris chinensis",VTO_0039889,"Aphyocypris chinensis",ott279724
"Sawbwa resplendens",VTO_0039902,"Sawbwa resplendens",ott1026924
"Aztecula sallei",VTO_0039952,"Aztecula sallaei",ott556026
"Tribolodon",VTO_0039955,"Tribolodon",ott790846
"Tribolodon hakuensis",VTO_0039956,"Tribolodon hakonensis",ott372585
"Tribolodon hakonensis",VTO_0039956,"Tribolodon hakonensis",ott372585
"Ischikauia steenackeri",VTO_0040063,"Ischikauia steenackeri",ott84197
"Cyprinella",VTO_0040252,"Cyprinella",ott130202
"Notropis spilopterus",VTO_0040253,"Cyprinella spiloptera",ott373838
"Cyprinella spiloptera",VTO_0040253,"Cyprinella spiloptera",ott373838
"Notropis texanus",VTO_0040343,"Notropis texanus",ott550208
"Notropis telescopus",VTO_0040346,"Notropis telescopus",ott550190
"Notropis scepticus",VTO_0040347,"Notropis scepticus",ott550187
"Notropis stilbius",VTO_0040348,"Notropis stilbius",ott550184
"Notropis calientis",VTO_0040359,"Notropis calientis",ott556018
"Hybopsis calientis",VTO_0040359,"Notropis calientis",ott556018
"Notropis imeldae",VTO_0040361,"Notropis imeldae",ott556021
"Notropis mekistocholas",VTO_0040364,"Notropis mekistocholas",ott698753
"Notropis oxyrhynchus",VTO_0040365,"Notropis oxyrhynchus",ott550196
"Netuma planifrons",VTO_0035734,"Genidens planifrons",ott516578
"Arius utarus",VTO_0035738,"Neoarius utarus",ott801
"Ariopsis utarus",VTO_0035738,"Neoarius utarus",ott801
"Arius graeffei",VTO_0035742,"Neoarius graeffei",ott875859
"Arius australis",VTO_0035742,"Neoarius graeffei",ott875859
"Ariopsis graeffei",VTO_0035742,"Neoarius graeffei",ott875859
"Arius curtisii",VTO_0035742,"Neoarius graeffei",ott875859
"Arius leptaspis",VTO_0035743,"Neoarius leptaspis",ott818
"Ariopsis leptaspis",VTO_0035743,"Neoarius leptaspis",ott818
"Hexanematichthys leptaspis",VTO_0035743,"Neoarius leptaspis",ott818
"Ariopsis berneyi",VTO_0035744,"Neoarius berneyi",ott52816
"Arius cleptolepis",VTO_0035744,"Neoarius berneyi",ott52816
"Tachysurus (Pararius) berneyi",VTO_0035744,"Neoarius berneyi",ott52816
"Arius midgleyi",VTO_0035745,"Neoarius midgleyi",ott875864
"Ariopsis midgleyi",VTO_0035745,"Neoarius midgleyi",ott875864
"Cochlefelis spatula",VTO_0035747,"Cochlefelis spatula",ott516557
"Arius spatula",VTO_0035747,"Cochlefelis spatula",ott516557
"Arius (Hemiarius) danielsi",VTO_0035748,"Cochlefelis danielsi",ott992719
"Cochlefelis danielsi",VTO_0035748,"Cochlefelis danielsi",ott992719
"Hemipimelodus cochlearis",VTO_0035750,"Cryptarius truncatus",ott769705
"Cryptarius n.g. truncatus",VTO_0035750,"Cryptarius truncatus",ott769705
"Arius truncatus",VTO_0035750,"Cryptarius truncatus",ott769705
"Cinetodus crassilabris",VTO_0035754,"Cinetodus crassilabris",ott1043035
"Hemipimelodus crassilabris",VTO_0035754,"Cinetodus crassilabris",ott1043035
"Arius (Hemiarius) carinatus",VTO_0035755,"Cinetodus carinatus",ott992748
"Cinetodus carinatus",VTO_0035755,"Cinetodus carinatus",ott992748
"Cinetodus froggatti",VTO_0035756,"Cinetodus froggatti",ott992743
"Arius froggatti",VTO_0035756,"Cinetodus froggatti",ott992743
"Potamarius nelsoni",VTO_0035758,"Potamarius nelsoni",ott195714
"Conorhynchos nelsoni",VTO_0035758,"Potamarius nelsoni",ott195714
"Ketengus typus",VTO_0035763,"Ketengus typus",ott494902
"Arius leiotetocephalus",VTO_0035775,"Plicofollis nella",ott182143
"Plicofollis n.g. nella",VTO_0035775,"Plicofollis nella",ott182143
"Pimelodus nella",VTO_0035775,"Plicofollis nella",ott182143
"Arius hamiltonis",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Plicofollis n.g. argyropleuron",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Hemipimelodus colcloughi",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Arius argyropleuron",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Tachysurus broadbenti",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Arius schlegeli",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Arius acutus",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Arius satparanus",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Arius macrocephalus",VTO_0035776,"Plicofollis argyropleuron",ott625716
"Arius dussumieri",VTO_0035779,"Plicofollis dussumieri",ott844
"Arius goniaspis",VTO_0035779,"Plicofollis dussumieri",ott844
"Arius tonggol",VTO_0035782,"Plicofollis tonggol",ott853
"Arius crossocheilos",VTO_0035782,"Plicofollis tonggol",ott853
"Bagrus carchariorhynchos",VTO_0035785,"Netuma thalassina",ott254152
"Ariodes aeneus",VTO_0035785,"Netuma thalassina",ott254152
"Bagrus laevigatus",VTO_0035785,"Netuma thalassina",ott254152
"Netuma thalassinus",VTO_0035785,"Netuma thalassina",ott254152
"Arius serratus",VTO_0035785,"Netuma thalassina",ott254152
"Arius nasutus",VTO_0035785,"Netuma thalassina",ott254152
"Netuma thalassina jacksonensis",VTO_0035785,"Netuma thalassina",ott254152
"Bagrus thalassinus",VTO_0035785,"Netuma thalassina",ott254152
"Bagrus netuma",VTO_0035785,"Netuma thalassina",ott254152
"Arius andamanensis",VTO_0035787,"Netuma bilineata",ott625703
"Netuma bilineatus",VTO_0035787,"Netuma bilineata",ott625703
"Bagrus bilineatus",VTO_0035787,"Netuma bilineata",ott625703
"Galeichthys xenauchen",VTO_0035796,"Notarius lentiginosus",ott461437
"Arius planiceps",VTO_0035797,"Notarius planiceps",ott261216
"Arius luniscutis",VTO_0035801,"Notarius luniscutis",ott625690
"Notarius stricticassis",VTO_0035807,"Notarius grandicassis",ott784561
"Arius stricticassis",VTO_0035807,"Notarius grandicassis",ott784561
"Arius grandicassis",VTO_0035807,"Notarius grandicassis",ott784561
"Arius spp.",VTO_0035808,"Arius",ott139658
"Arius maculatus",VTO_0035809,"Arius maculatus",ott526801
"Hemipimelodus atripinnis",VTO_0035809,"Arius maculatus",ott526801
"Hemipimelodus bicolor",VTO_0035809,"Arius maculatus",ott526801
"Arius jella",VTO_0035813,"Arius jella",ott688132
"Arius subrostratus",VTO_0035814,"Arius subrostratus",ott177104
"Arius pidada",VTO_0035815,"Arius oetik",ott678009
"Arius oetik",VTO_0035815,"Arius oetik",ott678009
"Arius leptonotacanthus",VTO_0035816,"Arius leptonotacanthus",ott678024
"Arius madagascariensis",VTO_0035817,"Arius madagascariensis",ott678026
"Arius falcarius",VTO_0035819,"Arius arius",ott784540
"Arius boakeii",VTO_0035819,"Arius arius",ott784540
"Arius arius",VTO_0035819,"Arius arius",ott784540
"Pimelodus arius",VTO_0035819,"Arius arius",ott784540
"Pimelodus gagora",VTO_0035822,"Arius gagora",ott678031
"Doiichthys novaeguineae",VTO_0035824,"Nedystoma novaeguineae",ott516546
"Nedystoma novaeguineae",VTO_0035824,"Nedystoma novaeguineae",ott516546
"Nedystoma dayi",VTO_0035825,"Nedystoma dayi",ott1043029
"Hemipimelodus dayi",VTO_0035825,"Nedystoma dayi",ott1043029
"Pimelodus nenga",VTO_0035827,"Nemapteryx nenga",ott678002
"Nemapteryx armiger",VTO_0035828,"Nemapteryx armiger",ott466218
"Arius armiger",VTO_0035828,"Nemapteryx armiger",ott466218
"Arius augustus",VTO_0035831,"Nemapteryx augusta",ott52799
"Nemapteryx augustus",VTO_0035831,"Nemapteryx augusta",ott52799
"Arius herbergii",VTO_0035834,"Sciades herzbergii",ott195732
"Selenaspis herzbergi",VTO_0035834,"Sciades herzbergii",ott195732
"Silurus herzbergii",VTO_0035834,"Sciades herzbergii",ott195732
"Silurus parkeri",VTO_0035835,"Sciades parkeri",ott195728
"Notropis nubilus",VTO_0040367,"Notropis nubilus",ott550199
"Notropis photogenis",VTO_0040369,"Notropis photogenis",ott550202
"Notropis hudsonius",VTO_0040370,"Notropis hudsonius",ott135051
"Notropis perpallidus",VTO_0040371,"Notropis perpallidus",ott550205
"Notropis edwardraneyi",VTO_0040372,"Notropis edwardraneyi",ott443771
"Notropis candidus",VTO_0040373,"Notropis candidus",ott443774
"Notropis jemezanus",VTO_0040374,"Notropis jemezanus",ott443783
"Notropis girardi",VTO_0040375,"Notropis girardi",ott443786
"Notropis amoenus",VTO_0040376,"Notropis amoenus",ott443765
"Notropis amabilis",VTO_0040377,"Notropis amabilis",ott443768
"Notropis boops",VTO_0040378,"Notropis boops",ott443777
"Notropis ariommus",VTO_0040380,"Notropis ariommus",ott443780
"Notropis heterolepis",VTO_0040388,"Notropis heterolepis",ott832483
"Notropis heterodon",VTO_0040390,"Notropis heterodon",ott258132
"Notropis anogenus",VTO_0040400,"Notropis anogenus",ott258125
"Notropis nazas",VTO_0040411,"Notropis nazas",ott338646
"Notropis maculatus",VTO_0040412,"Notropis maculatus",ott338649
"Notropis asperifrons",VTO_0040413,"Notropis asperifrons",ott742781
"Notropis leuciodus",VTO_0040414,"Notropis leuciodus",ott338652
"Notropis harperi",VTO_0040415,"Notropis harperi",ott338655
"Notropis buchanani",VTO_0040420,"Notropis buchanani",ott555686
"Mylopharodon conocephalus",VTO_0040478,"Mylopharodon conocephalus",ott434315
"Ochetobius elongatus",VTO_0040482,"Ochetobius elongatus",ott879638
"Biwia zezera",VTO_0040486,"Biwia zezera",ott879634
"Lepidomeda mollispinis",VTO_0040528,"Lepidomeda mollispinis",ott644735
"Barbus trimaculatus",VTO_0040571,"Barbus trimaculatus",ott31731
"Barbus ablades",VTO_0040574,"Barbus ablabes",ott552855
"Dionda",VTO_0040727,"Dionda",ott913477
"Sarcocheilichthys variegatus",VTO_0040846,"Sarcocheilichthys variegatus",ott333933
