"matrix_taxon","vto","vto_label"
"Doras Iipophthalmus","http://purl.obolibrary.org/obo/VTO_0036679","Anduzedoras oxyrhynchus"
"Platydoras costatus","http://purl.obolibrary.org/obo/VTO_0036686","Platydoras costatus"
"Orinocodoras eigenmanni","http://purl.obolibrary.org/obo/VTO_0036688","Orinocodoras eigenmanni"
"Doras carinatus","http://purl.obolibrary.org/obo/VTO_0036697","Doras carinatus"
"Hemidoras carinatus","http://purl.obolibrary.org/obo/VTO_0036697","Doras carinatus"
"Agamyxis albomaculatus","http://purl.obolibrary.org/obo/VTO_0036705","Agamyxis albomaculatus"
"Doras maculatus","http://purl.obolibrary.org/obo/VTO_0036713","Pterodoras granulosus"
"Pterodoras granulosus","http://purl.obolibrary.org/obo/VTO_0036713","Pterodoras granulosus"
"Synodontis clarias","http://purl.obolibrary.org/obo/VTO_0036771","Synodontis clarias"
"Pterygoplichthys zuliaensis","http://purl.obolibrary.org/obo/VTO_0036839","Pterygoplichthys zuliaensis"
"Hypostomus ammophilus","http://purl.obolibrary.org/obo/VTO_0036842","Aphanotorulus ammophilus"
"Hypostomus squalinus","http://purl.obolibrary.org/obo/VTO_0036851","Squaliforma squalina"
"Hypostomus albopunctatus","http://purl.obolibrary.org/obo/VTO_0036875","Hypostomus albopunctatus"
"Hypostomus boulengeri","http://purl.obolibrary.org/obo/VTO_0036902","Hypostomus boulengeri"
"Hypostomus plecostomus","http://purl.obolibrary.org/obo/VTO_0036903","Hypostomus plecostomus"
"Hypoptopoma commersonii","http://purl.obolibrary.org/obo/VTO_0036905","Hypostomus commersoni"
"Hypostomus commersoni","http://purl.obolibrary.org/obo/VTO_0036905","Hypostomus commersoni"
"Hypostomus punctatus","http://purl.obolibrary.org/obo/VTO_0036907","Hypostomus punctatus"
"Hypostomus verres","http://purl.obolibrary.org/obo/VTO_0036909","Hypostomus watwata"
"Neoplecostomus paranensis","http://purl.obolibrary.org/obo/VTO_0037207","Neoplecostomus paranensis"
"Hypophthalmus edentatus","http://purl.obolibrary.org/obo/VTO_0037375","Hypophthalmus edentatus"
"Micralestes acutidens","http://purl.obolibrary.org/obo/VTO_0037792","Micralestes acutidens"
"Bryconaethiops macrops","http://purl.obolibrary.org/obo/VTO_0037808","Bryconaethiops macrops"
"Alestes longipinnis","http://purl.obolibrary.org/obo/VTO_0037812","Brycinus longipinnis"
"Brycinus longipinnis","http://purl.obolibrary.org/obo/VTO_0037812","Brycinus longipinnis"
"Bryconalestes longipinnis","http://purl.obolibrary.org/obo/VTO_0037812","Brycinus longipinnis"
"Alestes macrolepidotus","http://purl.obolibrary.org/obo/VTO_0037814","Brycinus macrolepidotus"
"Brycinus macrolepidotus","http://purl.obolibrary.org/obo/VTO_0037814","Brycinus macrolepidotus"
"Brycinus aff. opisthotaenia","http://purl.obolibrary.org/obo/VTO_0037817","Brycinus opisthotaenia"
"Serrasalmus rhombeus","http://purl.obolibrary.org/obo/VTO_0037926","Serrasalmus rhombeus"
"Brycon opalinus","http://purl.obolibrary.org/obo/VTO_0038002","Brycon opalinus"
"Brycon guatemalensis","http://purl.obolibrary.org/obo/VTO_0038007","Brycon guatemalensis"
"Brycon striatulus","http://purl.obolibrary.org/obo/VTO_0038008","Brycon striatulus"
"Brycon chagrensis","http://purl.obolibrary.org/obo/VTO_0038011","Brycon chagrensis"
"Brycon argenteus","http://purl.obolibrary.org/obo/VTO_0038013","Brycon argenteus"
"Brycon oligolepis","http://purl.obolibrary.org/obo/VTO_0038014","Brycon oligolepis"
"Brycon aff. meeki","http://purl.obolibrary.org/obo/VTO_0038016","Brycon meeki"
"Brycon insignis","http://purl.obolibrary.org/obo/VTO_0038026","Brycon insignis"
"Astyanax fasciatus","http://purl.obolibrary.org/obo/VTO_0038207","Astyanax fasciatus"
"Prochilodus rubrotaeniatus","http://purl.obolibrary.org/obo/VTO_0038479","Prochilodus rubrotaeniatus"
"Prochilodus mariae","http://purl.obolibrary.org/obo/VTO_0038481","Prochilodus mariae"
"Prochilodus nigricans","http://purl.obolibrary.org/obo/VTO_0038482","Prochilodus nigricans"
"Prochilodus magdalenae","http://purl.obolibrary.org/obo/VTO_0038483","Prochilodus magdalenae"
"Semaprochilodus kneri","http://purl.obolibrary.org/obo/VTO_0038490","Semaprochilodus kneri"
"Leporinus friderici","http://purl.obolibrary.org/obo/VTO_0038661","Leporinus friderici"
"Hybopsis micropogon","http://purl.obolibrary.org/obo/VTO_0038704","Nocomis micropogon"
"Nocomis micropogon","http://purl.obolibrary.org/obo/VTO_0038704","Nocomis micropogon"
"Zacco temminckii","http://purl.obolibrary.org/obo/VTO_0038710","Nipponocypris temminckii"
"Zacco temminickii","http://purl.obolibrary.org/obo/VTO_0038710","Nipponocypris temminckii"
"Hybognathus hankinsoni","http://purl.obolibrary.org/obo/VTO_0038719","Hybognathus hankinsoni"
"Garra rufus","http://purl.obolibrary.org/obo/VTO_0038733","Garra rufa"
"Opsariichthys bidens","http://purl.obolibrary.org/obo/VTO_0038789","Opsariichthys bidens"
"Rhodeus sinensis","http://purl.obolibrary.org/obo/VTO_0038840","Rhodeus sinensis"
"Rasbora daniconius","http://purl.obolibrary.org/obo/VTO_0038888","Rasbora daniconius"
"Rasboroides vaterifloris","http://purl.obolibrary.org/obo/VTO_0038890","Rasbora vaterifloris"
"Saurogobio dabryi","http://purl.obolibrary.org/obo/VTO_0039020","Saurogobio dabryi"
"Tor putitora","http://purl.obolibrary.org/obo/VTO_0039043","Tor putitora"
"Culter alburnus","http://purl.obolibrary.org/obo/VTO_0039064","Culter alburnus"
"Pimephales tenellus","http://purl.obolibrary.org/obo/VTO_0039109","Pimephales tenellus"
"Spinibarbus hollandi","http://purl.obolibrary.org/obo/VTO_0039138","Spinibarbus hollandi"
"Pteronotropis euryzonus","http://purl.obolibrary.org/obo/VTO_0039311","Pteronotropis euryzonus"
"Pteronotropis signipinnis","http://purl.obolibrary.org/obo/VTO_0039313","Pteronotropis signipinnis"
