vto_short,vto_label,tok1,tok2,uuid,family,genus,specificepithet,lat,lon,char_sesamoid_bone_of_manus,char_carpal_bone,char_metacarpal_bone,char_humerus,char_ulna,char_radius_bone,char_centrale_fore,char_ulnare,char_phalanx_of_manus,char_intermedium,char_radiale,char_pelvic_fin,char_pectoral_fin,char_pelvic_sucking_disc
VTO:0054207,Poeciliidae,poeciliidae,,0bd9a684-d6e7-4fac-a6b7-aef11351d599,poeciliidae,gambusia,affinis,31.60667,-90.08139,,,,,,,,,,,,?,1,?
VTO:0036272,Ameiurus melas,ameiurus,melas,0bdc33c0-e67f-44df-a169-c7190dd07a35,ictaluridae,ameiurus,melas,39.011249,-95.293527,,,,,,,,,,,,1,1,?
VTO:0036216,Ictaluridae,ictaluridae,,0bdc33c0-e67f-44df-a169-c7190dd07a35,ictaluridae,ameiurus,melas,39.011249,-95.293527,,,,,,,,,,,,?,1,?
VTO:0055900,Cynoglossidae,cynoglossidae,,0bdcaef1-2ece-4fbc-8e33-6e910399eae2,cynoglossidae,symphurus,billykrietei,36.1013888889,-74.7680555556,,,,,,,,,,,,0,0,0
VTO:0049110,Labridae,labridae,,0bdcc9e9-e08e-4113-8b1a-d6c531c59746,labridae,halichoeres,,9.646667,138.169444,,,,,,,,,,,,0 and 1,1,0
VTO:0007309,Bufo bufo,bufo,bufo,0bdd5cf8-fa36-4a16-9238-dab691523205,bufonidae,bufo,bufo,30.8923888889,-115.4738333333,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0055812,Paralichthyidae,paralichthyidae,,0be09b23-c1df-4fff-951c-65f6c45adbc5,paralichthyidae,cyclopsetta,querna,9.4097222,-84.1861111,,,,,,,,,,,,?,1,?
VTO:0039110,Pimephales notatus,pimephales,notatus,0be1c92b-7e08-47b2-8df1-c5f0b3784d1a,cyprinidae,pimephales,notatus,40.3605,-81.8445,,,,,,,,,,,,1,1,?
VTO:0034250,Ophichthidae,ophichthidae,,0be1f8ad-75e5-4a31-b4a7-d404dc0bd061,ophichthidae,leiuranus,semicinctus,-18.174868,178.517403,,,,,,,,,,,,0,?,0
VTO:0040382,Notropis atherinoides,notropis,atherinoides,0be2081e-92ae-4aa9-9f34-f402b07cbab1,cyprinidae,notropis,atherinoides,31.64361,-93.74834,,,,,,,,,,,,1,1,?
