 "matrix_taxon" , "vto" , "vto_label" , "collection" , "catNum" ,
 "Notropis heterolepis" , "http://purl.obolibrary.org/obo/VTO_0040388" , "Notropis heterolepis" , "OSM" , "25379" ,
 "Notropis heterolepis" , "http://purl.obolibrary.org/obo/VTO_0040388" , "Notropis heterolepis" , "OSM" , "69541" ,
 "Notropis heterodon" , "http://purl.obolibrary.org/obo/VTO_0040390" , "Notropis heterodon" , "OSM" , "26369" ,
 "Notropis heterodon" , "http://purl.obolibrary.org/obo/VTO_0040390" , "Notropis heterodon" , "OSM" , "69672" ,
 "Notropis heterodon" , "http://purl.obolibrary.org/obo/VTO_0040390" , "Notropis heterodon" , "OSM" , "69540" ,
 "Notropis maculatus" , "http://purl.obolibrary.org/obo/VTO_0040412" , "Notropis maculatus" , "OSM" , "18488" ,
 "Notropis leuciodus" , "http://purl.obolibrary.org/obo/VTO_0040414" , "Notropis leuciodus" , "OSM" , "34553" ,
 "Notropis leuciodus" , "http://purl.obolibrary.org/obo/VTO_0040414" , "Notropis leuciodus" , "OSM" , "69545" ,
 "Notropis leuciodus" , "http://purl.obolibrary.org/obo/VTO_0040414" , "Notropis leuciodus" , "OSM" , "43462" ,
 "Notropis harperi" , "http://purl.obolibrary.org/obo/VTO_0040415" , "Notropis harperi" , "OSM" , "54635" ,
 "Notropis buchanani" , "http://purl.obolibrary.org/obo/VTO_0040420" , "Notropis buchanani" , "OSM" , "41992" ,
 "Notropis buchanani" , "http://purl.obolibrary.org/obo/VTO_0040420" , "Notropis buchanani" , "OSM" , "69686" ,
 "Notropis buchanani" , "http://purl.obolibrary.org/obo/VTO_0040420" , "Notropis buchanani" , "OSM" , "69535" ,
 "Mylopharodon conocephalus" , "http://purl.obolibrary.org/obo/VTO_0040478" , "Mylopharodon conocephalus" , "OSM" , "52389" ,
 "Ptychocheilus grandis" , "http://purl.obolibrary.org/obo/VTO_0040882" , "Ptychocheilus grandis" , "OSM" , "55105" ,
 "Ptychocheilus grandis" , "http://purl.obolibrary.org/obo/VTO_0040882" , "Ptychocheilus grandis" , "OSM" , "69599" ,
 "Notropis amoenus" , "http://purl.obolibrary.org/obo/VTO_0040376" , "Notropis amoenus" , "PSU" , "824" ,
 "Notropis edwardraneyi" , "http://purl.obolibrary.org/obo/VTO_0040372" , "Notropis edwardraneyi" , "UMMZ" , "187475" ,
 "Notropis candidus" , "http://purl.obolibrary.org/obo/VTO_0040373" , "Notropis candidus" , "UMMZ" , "188097" ,
 "Notropis girardi" , "http://purl.obolibrary.org/obo/VTO_0040375" , "Notropis girardi" , "UMMZ" , "127279" ,
 "Notropis heterolepis" , "http://purl.obolibrary.org/obo/VTO_0040388" , "Notropis heterolepis" , "UMMZ" , "111360" ,
 "Notropis anogenus" , "http://purl.obolibrary.org/obo/VTO_0040400" , "Notropis anogenus" , "UMMZ" , "73538" ,
 "Notropis nazas" , "http://purl.obolibrary.org/obo/VTO_0040411" , "Notropis nazas" , "UMMZ" , "161725" ,
 "Notropis harperi" , "http://purl.obolibrary.org/obo/VTO_0040415" , "Notropis harperi" , "UMMZ" , "166568" ,
 "Hesperoleucus symmetricus" , "http://purl.obolibrary.org/obo/VTO_0040877" , "Hesperoleucus symmetricus" , "UMMZ" , "188726" ,
 "Hesperoleucas symmetricus" , "http://purl.obolibrary.org/obo/VTO_0040877" , "Hesperoleucus symmetricus" , "USNM" , "67255" ,
 "Pristiophorus cirratus" , "http://purl.obolibrary.org/obo/VTO_0000768" , "Pristiophorus cirratus" , "AMNH" , "30169" ,
 "Platyrhina sinensis" , "http://purl.obolibrary.org/obo/VTO_0000773" , "Platyrhina sinensis" , "AMNH" , "44055" ,
 "Anoxypristis cuspidata" , "http://purl.obolibrary.org/obo/VTO_0001455" , "Anoxypristis cuspidata" , "AMNH" , "3268" ,
 "Chirocentrus dorab" , "http://purl.obolibrary.org/obo/VTO_0034549" , "Chirocentrus dorab" , "AMNH" , "55306SW" ,
 "Brevoortia tyrannus" , "http://purl.obolibrary.org/obo/VTO_0034692" , "Brevoortia tyrannus" , "AMNH" , "93283SD" ,
 "Gonorynchus greyi" , "http://purl.obolibrary.org/obo/VTO_0034965" , "Gonorynchus greyi" , "AMNH" , "32973" ,
 "Centromochlus heckelii" , "http://purl.obolibrary.org/obo/VTO_0035023" , "Centromochlus heckelii" , "AMNH" , "55406" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "AMNH" , "58405" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "AMNH" , "58406" ,
 "Auchenipterus demerarae" , "http://purl.obolibrary.org/obo/VTO_0035031" , "Auchenipterus demerarae" , "AMNH" , "55352" ,
 "Ageneiosus ucayalensis" , "http://purl.obolibrary.org/obo/VTO_0035047" , "Ageneiosus ucayalensis" , "AMNH" , "3844" ,
 "Auchenipterichthys thoracatus" , "http://purl.obolibrary.org/obo/VTO_0035049" , "Auchenipterichthys thoracatus" , "AMNH" , "uncat." ,
 "Hemibagrus macropterus" , "http://purl.obolibrary.org/obo/VTO_0035078" , "Hemibagrus macropterus" , "AMNH" , "11103" ,
 "Sprattus sprattus" , "http://purl.obolibrary.org/obo/VTO_0034566" , "Sprattus sprattus" , "ANSP" , "100082" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "ANSP" , "71873" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "ANSP" , "75117" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "ANSP" , "71874" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "ANSP" , "71875" ,
 "Megalops cyprinoides" , "http://purl.obolibrary.org/obo/VTO_0033944" , "Megalops cyprinoides" , "CAS" , "135104" ,
 "Megalops cyprinoides" , "http://purl.obolibrary.org/obo/VTO_0033944" , "Megalops cyprinoides" , "CAS" , "145216" ,
 "Gonorynchus abbreviatus" , "http://purl.obolibrary.org/obo/VTO_0034963" , "Gonorynchus abbreviatus" , "CAS" , "30883" ,
 "Gonorynchus abbreviatus" , "http://purl.obolibrary.org/obo/VTO_0034963" , "Gonorynchus abbreviatus" , "CAS" , "30993" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "CAS" , "44177" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "CAS" , "164491" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "CAS" , "76790" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "CAS" , "6678" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "CAS" , "24798" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "CAS" , "158882" ,
 "Tatia intermedia" , "http://purl.obolibrary.org/obo/VTO_0035028" , "Tatia intermedia" , "CAS" , "158884" ,
 "Brevoortia tyrannus" , "http://purl.obolibrary.org/obo/VTO_0034692" , "Brevoortia tyrannus" , "CAS-IU" , "4991" ,
 "Auchenipterichthys thoracatus" , "http://purl.obolibrary.org/obo/VTO_0035049" , "Auchenipterichthys thoracatus" , "CU" , "81193" ,
 "Auchenipterichthys thoracatus" , "http://purl.obolibrary.org/obo/VTO_0035049" , "Auchenipterichthys thoracatus" , "CU" , "88997" ,
 "Ageneiosus ucayalensis" , "http://purl.obolibrary.org/obo/VTO_0035047" , "Ageneiosus ucayalensis" , "DU" , "F928" ,
 "Ageneiosus ucayalensis" , "http://purl.obolibrary.org/obo/VTO_0035047" , "Ageneiosus ucayalensis" , "DU" , "F1068" ,
 "Ageneiosus ucayalensis" , "http://purl.obolibrary.org/obo/VTO_0035047" , "Ageneiosus ucayalensis" , "DU" , "F 1161" ,
 "Gonorynchus abbreviatus" , "http://purl.obolibrary.org/obo/VTO_0034963" , "Gonorynchus abbreviatus" , "FMNH" , "76746" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "FMNH" , "62812" ,
 "Phractolaemus ansorgei" , "http://purl.obolibrary.org/obo/VTO_0034982" , "Phractolaemus ansorgii" , "FMNH" , "63938" ,
 "Breevortia patronus" , "http://purl.obolibrary.org/obo/VTO_0034686" , "Brevoortia patronus" , "KU" , "15113" ,
 "Breevortia patronus" , "http://purl.obolibrary.org/obo/VTO_0034686" , "Brevoortia patronus" , "KU" , "17063" ,
 "Dorosoma petenense" , "http://purl.obolibrary.org/obo/VTO_0034748" , "Dorosoma petenense" , "KU" , "9594" ,
