matrix_taxon, vto, ott_id
"Tachysurus broadbenti", VTO_0035776, ott625716
"Arius schlegeli", VTO_0035776, ott625716
"Arius acutus", VTO_0035776, ott625716
"Arius satparanus", VTO_0035776, ott625716
"Arius macrocephalus", VTO_0035776, ott625716
"Arius dussumieri", VTO_0035779, ott844
"Arius goniaspis", VTO_0035779, ott844
"Arius tonggol", VTO_0035782, ott853
"Arius crossocheilos", VTO_0035782, ott853
"Bagrus carchariorhynchos", VTO_0035785, ott254152
"Ariodes aeneus", VTO_0035785, ott254152
"Bagrus laevigatus", VTO_0035785, ott254152
"Netuma thalassinus", VTO_0035785, ott254152
"Arius serratus", VTO_0035785, ott254152
"Arius nasutus", VTO_0035785, ott254152
"Netuma thalassina jacksonensis", VTO_0035785, ott254152
"Bagrus thalassinus", VTO_0035785, ott254152
"Bagrus netuma", VTO_0035785, ott254152
"Arius andamanensis", VTO_0035787, ott625703
"Netuma bilineatus", VTO_0035787, ott625703
"Bagrus bilineatus", VTO_0035787, ott625703
"Galeichthys xenauchen", VTO_0035796, ott461437
"Arius planiceps", VTO_0035797, ott261216
"Arius luniscutis", VTO_0035801, ott625690
"Notarius stricticassis", VTO_0035807, ott784561
"Arius stricticassis", VTO_0035807, ott784561
"Arius grandicassis", VTO_0035807, ott784561
"Arius spp.", VTO_0035808, ott139658
"Arius maculatus", VTO_0035809, ott526801
"Hemipimelodus atripinnis", VTO_0035809, ott526801
"Hemipimelodus bicolor", VTO_0035809, ott526801
"Arius jella", VTO_0035813, ott688132
"Arius subrostratus", VTO_0035814, ott177104
"Arius pidada", VTO_0035815, ott678009
"Arius oetik", VTO_0035815, ott678009
"Arius leptonotacanthus", VTO_0035816, ott678024
"Arius madagascariensis", VTO_0035817, ott678026
"Arius falcarius", VTO_0035819, ott784540
"Arius boakeii", VTO_0035819, ott784540
"Arius arius", VTO_0035819, ott784540
"Pimelodus arius", VTO_0035819, ott784540
"Pimelodus gagora", VTO_0035822, ott678031
"Doiichthys novaeguineae", VTO_0035824, ott516546
"Nedystoma novaeguineae", VTO_0035824, ott516546
"Nedystoma dayi", VTO_0035825, ott1043029
"Hemipimelodus dayi", VTO_0035825, ott1043029
"Pimelodus nenga", VTO_0035827, ott678002
"Nemapteryx armiger", VTO_0035828, ott466218
"Arius armiger", VTO_0035828, ott466218
"Arius augustus", VTO_0035831, ott52799
"Nemapteryx augustus", VTO_0035831, ott52799
"Arius herbergii", VTO_0035834, ott195732
"Selenaspis herzbergi", VTO_0035834, ott195732
"Silurus herzbergii", VTO_0035834, ott195732
"Silurus parkeri", VTO_0035835, ott195728
"Notropis nubilus", VTO_0040367, ott550199
"Notropis photogenis", VTO_0040369, ott550202
"Notropis hudsonius", VTO_0040370, ott135051
"Notropis perpallidus", VTO_0040371, ott550205
"Notropis edwardraneyi", VTO_0040372, ott443771
"Notropis candidus", VTO_0040373, ott443774
"Notropis jemezanus", VTO_0040374, ott443783
"Notropis girardi", VTO_0040375, ott443786
"Notropis amoenus", VTO_0040376, ott443765
"Notropis amabilis", VTO_0040377, ott443768
"Notropis boops", VTO_0040378, ott443777
"Notropis ariommus", VTO_0040380, ott443780
"Notropis heterolepis", VTO_0040388, ott832483
"Notropis heterodon", VTO_0040390, ott258132
"Notropis anogenus", VTO_0040400, ott258125
"Notropis nazas", VTO_0040411, ott338646
"Notropis maculatus", VTO_0040412, ott338649
"Notropis asperifrons", VTO_0040413, ott742781
"Notropis leuciodus", VTO_0040414, ott338652
"Notropis harperi", VTO_0040415, ott338655
"Notropis buchanani", VTO_0040420, ott555686
"Mylopharodon conocephalus", VTO_0040478, ott434315
"Ochetobius elongatus", VTO_0040482, ott879638
"Biwia zezera", VTO_0040486, ott879634
"Lepidomeda mollispinis", VTO_0040528, ott644735
"Barbus trimaculatus", VTO_0040571, ott31731
"Barbus ablades", VTO_0040574, ott552855
"Dionda", VTO_0040727, ott913477
"Sarcocheilichthys variegatus", VTO_0040846, ott333933
"Hesperoleucas symmetricus", VTO_0040877, ott536565
"Hesperoleucus symmetricus", VTO_0040877, ott536565
"Ptychocheilus grandis", VTO_0040882, ott536569
"Gyrinocheilus aymonieri", VTO_0040888, ott341392
"Gyrinocheilus aymoneri", VTO_0040888, ott341392
"Acanthophthalmus kuhli", VTO_0040962, ott438241
"Acanthophthalumus kuhli", VTO_0040962, ott438241
"Niwaella delicata", VTO_0040997, ott117100
"Cobitis biwae", VTO_0041047, ott638827
"Cobitis takatsuensis", VTO_0041051, ott117091
"Cobitis taenia striata", VTO_0041108, ott499202
"Leptobotia", VTO_0041128, ott675392
"Noemacheilus pulcher", VTO_0041170, ott266317
"Noemacheilus barbatulus", VTO_0041175, ott611751
"Noemacheilus fasciolata", VTO_0041209, ott675381
"Lefua costata", VTO_0041262, ott991335
"Lefua echigonia", VTO_0041263, ott499198
"Arius proops", VTO_0035837, ott195721
"Bagrus proops", VTO_0035837, ott195721
"Bagrus couma", VTO_0035838, ott922455
"Sciadeichthys troscheli", VTO_0035840, ott784552
"Sciades troschelii", VTO_0035840, ott784552
"Selenaspis dowii", VTO_0035842, ott922458
"Leptarius dowii", VTO_0035842, ott922458
"Arius caerulescens", VTO_0035843, ott195737
"Galeichthys azureus", VTO_0035843, ott195737
"Aspredinidae", VTO_0035848, ott609231
"Bunocephalus sp.", VTO_0035849, ott536093
"Bunocephalus verrucosus", VTO_0035850, ott536088
"Bunocephalus coracoideus", VTO_0035851, ott693715
"Pterobunocephalus depressus", VTO_0035856, ott536090
"Hoplomyzon sexpapilostoma", VTO_0035859, ott343456
"Platystacus cotylephorus", VTO_0035861, ott216459
"Lacantuniidae", VTO_0036092, ott874757
"Erethistidae", VTO_0036095, ott693711
"Erethistes pusillus", VTO_0036101, ott641177
"Hara jerdoni", VTO_0036107, ott851188
"Hara jordoni", VTO_0036107, ott851188
"Hara hara", VTO_0036111, ott641163
"Conta conta", VTO_0036113, ott693709
"Laguvia shawi", VTO_0036116, ott119570
"Glyptothorax shawi", VTO_0036116, ott119570
"Laguvia ribeiroi", VTO_0036119, ott119573
"Glyptothorax ribeiroi", VTO_0036119, ott119573
"Siluridae", VTO_0036122, ott441560
  , VTO_0036122, ott441560
"Silurus glanis", VTO_0036124, ott272344
"Silurus asotus", VTO_0036128, ott967323
"Kryptopterus apogon", VTO_0036132, ott229726
"Kryptopterus macrocephalus", VTO_0036138, ott783832
"Kryptopterus schilbeides", VTO_0036140, ott783846
"Kryptopterus minor", VTO_0036141, ott488967
"Kryptopterus bicirrhis", VTO_0036142, ott896070
"Kryptopterus amboinensis", VTO_0036142, ott896070
"Kryptopterus limpok", VTO_0036143, ott475451
"Kryptopterus cryptopterus", VTO_0036144, ott444259
"Ceratoglanis scleronema", VTO_0036146, ott544761
"Silurichthys leucopodus", VTO_0036148, ott475461
"Pterocryptis anomala", VTO_0036153, ott582523
"Pterocryptis gilberti", VTO_0036153, ott582523
"Wallago leerrii", VTO_0036155, ott96790
"Wallago nebulosus", VTO_0036155, ott96790
"Wallago attu", VTO_0036156, ott55613
"Hemisilurus mekongensis", VTO_0036159, ott671054
"Hemisilurus moolenburghi", VTO_0036160, ott582524
"Ompok malabaricus", VTO_0036164, ott184772
"Ompok miostoma", VTO_0036166, ott444257
"Nematogenyidae", VTO_0036172, ott71453
"Laides hexanema", VTO_0036182, ott61487
"Laides hexanuma", VTO_0036182, ott61487
"Ailia coila", VTO_0036184, ott583421
"Ailia bengalensis", VTO_0036184, ott583421
"Silonia silondia", VTO_0036186, ott350492
"Silundia gangetica", VTO_0036186, ott350492
"Pseudeutropius brachypopterus", VTO_0036188, ott210174
"Pseudeutropius mitchelli", VTO_0036190, ott184768
"Parailia longifilis", VTO_0036196, ott874761
"Schilbe mystus", VTO_0036200, ott1016850
"Eutropius niloticus", VTO_0036200, ott1016850
"Pristiophorus cirratus", VTO_0000768, ott1095624
"Platyrhina sinensis", VTO_0000773, ott920361
"Plesiobatidae", VTO_0001160, ott456582
"Plesiobatis", VTO_0001161, ott456580
"Hexatrygonidae", VTO_0001163, ott456584
"Hexatrygon", VTO_0001164, ott237948
"Narkidae", VTO_0001371, ott932203
"Hypnidae", VTO_0001392, ott356637
"Anoxypristis cuspidata", VTO_0001455, ott97265
  , VTO_0001463, ott114654
"Osteichthyes", VTO_0001463, ott114654
"Manis pentadactyla", VTO_0008725, ott337830
"Pteropus giganteus", VTO_0008902, ott588290
"Rhinopoma hardwickii", VTO_0010172, ott79793
"Elops affinis", VTO_0033940, ott182994
"Megalops cyprinoides", VTO_0033944, ott586610
"Halosauridae", VTO_0033961, ott925747
"Pterothrissus", VTO_0033980, ott191548
"Chlopsidae", VTO_0034113, ott586623
"Xenocongridae (Chlopsidae)", VTO_0034113, ott586623
"Kaupichthys", VTO_0034119, ott838151
"Robinisia catherinae", VTO_0034124, ott586607
"Moringuidae", VTO_0034153, ott586615
"Moringua edwardsi", VTO_0034158, ott313646
"Nettastomatidae", VTO_0034164, ott13838
"Hoplunnis", VTO_0034172, ott757151
"Derichthyidae", VTO_0034183, ott65734
"Nessorhamphus ingolfianus", VTO_0034185, ott417201
"Nessorhamphus danae", VTO_0034186, ott535058
"Synaphobranchidae", VTO_0034203, ott65737
"Simenchelys parasiticus", VTO_0034206, ott718866
"Nemichthyidae", VTO_0034241, ott535059
"Muraenichthys", VTO_0034252, ott164026
"Ariosoma", VTO_0034387, ott1090326
"Parabathymyrus", VTO_0034397, ott747283
"Gorgasia", VTO_0034400, ott195559
"Saccopharyngidae", VTO_0034528, ott736194
"Chirocentrus dorab", VTO_0034549, ott481635
"Sprattus sprattus", VTO_0034566, ott25768
"Sardinella maderensis", VTO_0034591, ott25761
"Sardinella aurita", VTO_0034597, ott25765
"Harengula pensacolae", VTO_0034614, ott107257
"Harengula jaguana", VTO_0034614, ott107257
"Harengula pensacole", VTO_0034614, ott107257
